"Class","Order","Family","Subfamily",Available,Valid,Last Ten Years (2006-2015)
Myxini,,,,,,
 ,Myxiniformes,,,,,
 , ,Myxinidae,,96,81,13
 , , ,Myxininae,32,26,0
 , , ,Eptatretinae,64,55,13
Petromyzonti,,,,,,
 ,Petromyzontiformes,,,,,
 , ,Petromyzontidae,,101,41,5
 , ,Geotriidae,,15,1,0
 , ,Mordaciidae,,5,3,0
Cladistii,,,,,,
 ,Polypteriformes,,,,,
 , ,Polypteridae,,24,12,1
Elasmobranchii,,,,,,
 ,Hexanchiformes,,,,,
 , ,Hexanchidae,,30,4,0
 , ,Chlamydoselachidae,,2,2,1
 ,Heterodontiformes,,,,,
 , ,Heterodontidae,,19,9,0
 ,Orectolobiformes,,,,,
 , ,Rhincodontidae,,5,1,0
 , ,Parascylliidae,,10,8,1
 , ,Brachaeluridae,,4,2,0
 , ,Orectolobidae,,18,12,5
 , ,Hemiscylliidae,,33,17,4
 , ,Stegostomatidae,,14,2,0
 , ,Ginglymostomatidae,,16,4,1
 ,Lamniformes,,,,,
 , ,Odontaspididae,,13,3,0
 , ,Mitsukurinidae,,4,1,0
 , ,Pseudocarchariidae,,3,1,0
 , ,Lamnidae,,40,5,0
 , ,Megachasmidae,,1,1,0
 , ,Cetorhinidae,,16,1,0
 , ,Alopiidae,,15,3,0
 ,Carcharhiniformes,,,,,
 , ,Pentanchidae,,106,87,16
 , ,Scyliorhinidae,,95,67,21
 , ,Proscylliidae,,8,7,0
 , ,Pseudotriakidae,,5,4,2
 , ,Leptochariidae,,2,1,0
 , ,Triakidae,,86,47,6
 , , ,Triakinae,59,35,5
 , , ,Galeorhininae,26,12,1
 , ,Hemigaleidae,,17,8,0
 , ,Carcharhinidae,,195,59,3
 , ,Sphyrnidae,,24,10,1
 ,Squaliformes,,,,,
 , ,Dalatiidae,,30,9,0
 , ,Etmopteridae,,56,46,4
 , ,Somniosidae,,35,17,0
 , ,Oxynotidae,,10,5,0
 , ,Centrophoridae,,45,15,2
 , ,Squalidae,,53,29,13
 , ,Echinorhinidae,,5,2,0
 ,Pristiophoriformes,,,,,
 , ,Pristiophoridae,,11,8,3
 ,Squatiniformes,,,,,
 , ,Squatinidae,,33,21,6
 ,Pristiformes,,,,,
 , ,Pristidae,,25,7,0
 ,Torpediniformes,,,,,
 , ,Narkidae,,17,12,1
 , ,Narcinidae,,48,31,3
 , ,Hypnidae,,2,1,0
 , ,Torpedinidae,,51,24,2
 ,Rajiformes,,,,,
 , ,Rhinobatidae,,97,63,8
 , , ,Rhinobatinae,75,48,2
 , , ,Rhynchobatinae,10,7,3
 , , ,Rhininae,3,2,1
 , , ,Platyrhininae,8,6,2
 , ,Arhynchobatidae,,130,108,22
 , ,Crurirajidae,,9,8,1
 , ,Rajidae,,297,172,27
 , ,Anacanthobatidae,,14,12,3
 ,Myliobatiformes,,,,,
 , ,Plesiobatidae,,2,1,0
 , ,Hexatrygonidae,,5,1,0
 , ,Dasyatidae,,161,91,16
 , ,Gymnuridae,,25,14,0
